county,state,population_2010
Autauga County,Alabama,54571
Baldwin County,Alabama,182265
Barbour County,Alabama,27457
Bibb County,Alabama,22915
Blount County,Alabama,57322
Bullock County,Alabama,10914
Butler County,Alabama,20947
Calhoun County,Alabama,118572
Chambers County,Alabama,34215
Cherokee County,Alabama,25989
Chilton County,Alabama,43643
Choctaw County,Alabama,13859
Clarke County,Alabama,25833
Clay County,Alabama,13932
Cleburne County,Alabama,14972
Coffee County,Alabama,49948
Colbert County,Alabama,54428
Conecuh County,Alabama,13228
Coosa County,Alabama,11539
Covington County,Alabama,37765
Crenshaw County,Alabama,13906
Cullman County,Alabama,80406
Dale County,Alabama,50251
Dallas County,Alabama,43820
DeKalb County,Alabama,71109
Elmore County,Alabama,79303
Escambia County,Alabama,38319
Etowah County,Alabama,104430
Fayette County,Alabama,17241
Franklin County,Alabama,31704
Geneva County,Alabama,26790
Greene County,Alabama,9045
Hale County,Alabama,15760
Henry County,Alabama,17302
Houston County,Alabama,101547
Jackson County,Alabama,53227
Jefferson County,Alabama,658466
Lamar County,Alabama,14564
Lauderdale County,Alabama,92709
Lawrence County,Alabama,34339
Lee County,Alabama,140247
Limestone County,Alabama,82782
Lowndes County,Alabama,11299
Macon County,Alabama,21452
Madison County,Alabama,334811
Marengo County,Alabama,21027
Marion County,Alabama,30776
Marshall County,Alabama,93019
Mobile County,Alabama,412992
Monroe County,Alabama,23068
Montgomery County,Alabama,229363
Morgan County,Alabama,119490
Perry County,Alabama,10591
Pickens County,Alabama,19746
Pike County,Alabama,32899
Randolph County,Alabama,22913
Russell County,Alabama,52947
St. Clair County,Alabama,83593
Shelby County,Alabama,195085
Sumter County,Alabama,13763
Talladega County,Alabama,82291
Tallapoosa County,Alabama,41616
Tuscaloosa County,Alabama,194656
Walker County,Alabama,67023
Washington County,Alabama,17581
Wilcox County,Alabama,11670
Winston County,Alabama,24484
Aleutians East Borough,Alaska,3141
Aleutians West Census Area,Alaska,5561
Anchorage Municipality,Alaska,291826
Bethel Census Area,Alaska,17013
Bristol Bay Borough,Alaska,997
Denali Borough,Alaska,1826
Dillingham Census Area,Alaska,4847
Fairbanks North Star Borough,Alaska,97581
Haines Borough,Alaska,2508
Hoonah-Angoon Census Area,Alaska,2150
Juneau City and Borough,Alaska,31275
Kenai Peninsula Borough,Alaska,55400
Ketchikan Gateway Borough,Alaska,13477
Kodiak Island Borough,Alaska,13592
Lake and Peninsula Borough,Alaska,1631
Matanuska-Susitna Borough,Alaska,88995
Nome Census Area,Alaska,9492
North Slope Borough,Alaska,9430
Northwest Arctic Borough,Alaska,7523
Petersburg Census Area,Alaska,3815
Prince of Wales-Hyder Census Area,Alaska,5559
Sitka City and Borough,Alaska,8881
Skagway Municipality,Alaska,968
Southeast Fairbanks Census Area,Alaska,7029
Valdez-Cordova Census Area,Alaska,9636
Wade Hampton Census Area,Alaska,7459
Wrangell City and Borough,Alaska,2369
Yakutat City and Borough,Alaska,662
Yukon-Koyukuk Census Area,Alaska,5588
Apache County,Arizona,71518
Cochise County,Arizona,131346
Coconino County,Arizona,134421
Gila County,Arizona,53597
Graham County,Arizona,37220
Greenlee County,Arizona,8437
La Paz County,Arizona,20489
Maricopa County,Arizona,3817117
Mohave County,Arizona,200186
Navajo County,Arizona,107449
Pima County,Arizona,980263
Pinal County,Arizona,375770
Santa Cruz County,Arizona,47420
Yavapai County,Arizona,211033
Yuma County,Arizona,195751
Arkansas County,Arkansas,19019
Ashley County,Arkansas,21853
Baxter County,Arkansas,41513
Benton County,Arkansas,221339
Boone County,Arkansas,36903
Bradley County,Arkansas,11508
Calhoun County,Arkansas,5368
Carroll County,Arkansas,27446
Chicot County,Arkansas,11800
Clark County,Arkansas,22995
Clay County,Arkansas,16083
Cleburne County,Arkansas,25970
Cleveland County,Arkansas,8689
Columbia County,Arkansas,24552
Conway County,Arkansas,21273
Craighead County,Arkansas,96443
Crawford County,Arkansas,61948
Crittenden County,Arkansas,50902
Cross County,Arkansas,17870
Dallas County,Arkansas,8116
Desha County,Arkansas,13008
Drew County,Arkansas,18509
Faulkner County,Arkansas,113237
Franklin County,Arkansas,18125
Fulton County,Arkansas,12245
Garland County,Arkansas,96024
Grant County,Arkansas,17853
Greene County,Arkansas,42090
Hempstead County,Arkansas,22609
Hot Spring County,Arkansas,32923
Howard County,Arkansas,13789
Independence County,Arkansas,36647
Izard County,Arkansas,13696
Jackson County,Arkansas,17997
Jefferson County,Arkansas,77435
Johnson County,Arkansas,25540
Lafayette County,Arkansas,7645
Lawrence County,Arkansas,17415
Lee County,Arkansas,10424
Lincoln County,Arkansas,14134
Little River County,Arkansas,13171
Logan County,Arkansas,22353
Lonoke County,Arkansas,68356
Madison County,Arkansas,15717
Marion County,Arkansas,16653
Miller County,Arkansas,43462
Mississippi County,Arkansas,46480
Monroe County,Arkansas,8149
Montgomery County,Arkansas,9487
Nevada County,Arkansas,8997
Newton County,Arkansas,8330
Ouachita County,Arkansas,26120
Perry County,Arkansas,10445
Phillips County,Arkansas,21757
Pike County,Arkansas,11291
Poinsett County,Arkansas,24583
Polk County,Arkansas,20662
Pope County,Arkansas,61754
Prairie County,Arkansas,8715
Pulaski County,Arkansas,382748
Randolph County,Arkansas,17969
St. Francis County,Arkansas,28258
Saline County,Arkansas,107118
Scott County,Arkansas,11233
Searcy County,Arkansas,8195
Sebastian County,Arkansas,125744
Sevier County,Arkansas,17058
Sharp County,Arkansas,17264
Stone County,Arkansas,12394
Union County,Arkansas,41639
Van Buren County,Arkansas,17295
Washington County,Arkansas,203065
White County,Arkansas,77076
Woodruff County,Arkansas,7260
Yell County,Arkansas,22185
Alameda County,California,1510271
Alpine County,California,1175
Amador County,California,38091
Butte County,California,220000
Calaveras County,California,45578
Colusa County,California,21419
Contra Costa County,California,1049025
Del Norte County,California,28610
El Dorado County,California,181058
Fresno County,California,930450
Glenn County,California,28122
Humboldt County,California,134623
Imperial County,California,174528
Inyo County,California,18546
Kern County,California,839631
Kings County,California,152982
Lake County,California,64665
Lassen County,California,34895
Los Angeles County,California,9818605
Madera County,California,150865
Marin County,California,252409
Mariposa County,California,18251
Mendocino County,California,87841
Merced County,California,255793
Modoc County,California,9686
Mono County,California,14202
Monterey County,California,415057
Napa County,California,136484
Nevada County,California,98764
Orange County,California,3010232
Placer County,California,348432
Plumas County,California,20007
Riverside County,California,2189641
Sacramento County,California,1418788
San Benito County,California,55269
San Bernardino County,California,2035210
San Diego County,California,3095313
San Francisco County,California,805235
San Joaquin County,California,685306
San Luis Obispo County,California,269637
San Mateo County,California,718451
Santa Barbara County,California,423895
Santa Clara County,California,1781642
Santa Cruz County,California,262382
Shasta County,California,177223
Sierra County,California,3240
Siskiyou County,California,44900
Solano County,California,413344
Sonoma County,California,483878
Stanislaus County,California,514453
Sutter County,California,94737
Tehama County,California,63463
Trinity County,California,13786
Tulare County,California,442179
Tuolumne County,California,55365
Ventura County,California,823318
Yolo County,California,200849
Yuba County,California,72155
Adams County,Colorado,441603
Alamosa County,Colorado,15445
Arapahoe County,Colorado,572003
Archuleta County,Colorado,12084
Baca County,Colorado,3788
Bent County,Colorado,6499
Boulder County,Colorado,294567
Broomfield County,Colorado,55889
Chaffee County,Colorado,17809
Cheyenne County,Colorado,1836
Clear Creek County,Colorado,9088
Conejos County,Colorado,8256
Costilla County,Colorado,3524
Crowley County,Colorado,5823
Custer County,Colorado,4255
Delta County,Colorado,30952
Denver County,Colorado,600158
Dolores County,Colorado,2064
Douglas County,Colorado,285465
Eagle County,Colorado,52197
Elbert County,Colorado,23086
El Paso County,Colorado,622263
Fremont County,Colorado,46824
Garfield County,Colorado,56389
Gilpin County,Colorado,5441
Grand County,Colorado,14843
Gunnison County,Colorado,15324
Hinsdale County,Colorado,843
Huerfano County,Colorado,6711
Jackson County,Colorado,1394
Jefferson County,Colorado,534543
Kiowa County,Colorado,1398
Kit Carson County,Colorado,8270
Lake County,Colorado,7310
La Plata County,Colorado,51334
Larimer County,Colorado,299630
Las Animas County,Colorado,15507
Lincoln County,Colorado,5467
Logan County,Colorado,22709
Mesa County,Colorado,146723
Mineral County,Colorado,712
Moffat County,Colorado,13795
Montezuma County,Colorado,25535
Montrose County,Colorado,41276
Morgan County,Colorado,28159
Otero County,Colorado,18831
Ouray County,Colorado,4436
Park County,Colorado,16206
Phillips County,Colorado,4442
Pitkin County,Colorado,17148
Prowers County,Colorado,12551
Pueblo County,Colorado,159063
Rio Blanco County,Colorado,6666
Rio Grande County,Colorado,11982
Routt County,Colorado,23509
Saguache County,Colorado,6108
San Juan County,Colorado,699
San Miguel County,Colorado,7359
Sedgwick County,Colorado,2379
Summit County,Colorado,27994
Teller County,Colorado,23350
Washington County,Colorado,4814
Weld County,Colorado,252825
Yuma County,Colorado,10043
Fairfield County,Connecticut,916829
Hartford County,Connecticut,894014
Litchfield County,Connecticut,189927
Middlesex County,Connecticut,165676
New Haven County,Connecticut,862477
New London County,Connecticut,274055
Tolland County,Connecticut,152691
Windham County,Connecticut,118428
Kent County,Delaware,162310
New Castle County,Delaware,538479
Sussex County,Delaware,197145
District of Columbia,District of Columbia,601723
Alachua County,Florida,247336
Baker County,Florida,27115
Bay County,Florida,168852
Bradford County,Florida,28520
Brevard County,Florida,543376
Broward County,Florida,1748066
Calhoun County,Florida,14625
Charlotte County,Florida,159978
Citrus County,Florida,141236
Clay County,Florida,190865
Collier County,Florida,321520
Columbia County,Florida,67531
DeSoto County,Florida,34862
Dixie County,Florida,16422
Duval County,Florida,864263
Escambia County,Florida,297619
Flagler County,Florida,95696
Franklin County,Florida,11549
Gadsden County,Florida,46389
Gilchrist County,Florida,16939
Glades County,Florida,12884
Gulf County,Florida,15863
Hamilton County,Florida,14799
Hardee County,Florida,27731
Hendry County,Florida,39140
Hernando County,Florida,172778
Highlands County,Florida,98786
Hillsborough County,Florida,1229226
Holmes County,Florida,19927
Indian River County,Florida,138028
Jackson County,Florida,49746
Jefferson County,Florida,14761
Lafayette County,Florida,8870
Lake County,Florida,297052
Lee County,Florida,618754
Leon County,Florida,275487
Levy County,Florida,40801
Liberty County,Florida,8365
Madison County,Florida,19224
Manatee County,Florida,322833
Marion County,Florida,331298
Martin County,Florida,146318
Miami-Dade County,Florida,2496435
Monroe County,Florida,73090
Nassau County,Florida,73314
Okaloosa County,Florida,180822
Okeechobee County,Florida,39996
Orange County,Florida,1145956
Osceola County,Florida,268685
Palm Beach County,Florida,1320134
Pasco County,Florida,464697
Pinellas County,Florida,916542
Polk County,Florida,602095
Putnam County,Florida,74364
St. Johns County,Florida,190039
St. Lucie County,Florida,277789
Santa Rosa County,Florida,151372
Sarasota County,Florida,379448
Seminole County,Florida,422718
Sumter County,Florida,93420
Suwannee County,Florida,41551
Taylor County,Florida,22570
Union County,Florida,15535
Volusia County,Florida,494593
Wakulla County,Florida,30776
Walton County,Florida,55043
Washington County,Florida,24896
Appling County,Georgia,18236
Atkinson County,Georgia,8375
Bacon County,Georgia,11096
Baker County,Georgia,3451
Baldwin County,Georgia,45720
Banks County,Georgia,18395
Barrow County,Georgia,69367
Bartow County,Georgia,100157
Ben Hill County,Georgia,17634
Berrien County,Georgia,19286
Bibb County,Georgia,155547
Bleckley County,Georgia,13063
Brantley County,Georgia,18411
Brooks County,Georgia,16243
Bryan County,Georgia,30233
Bulloch County,Georgia,70217
Burke County,Georgia,23316
Butts County,Georgia,23655
Calhoun County,Georgia,6694
Camden County,Georgia,50513
Candler County,Georgia,10998
Carroll County,Georgia,110527
Catoosa County,Georgia,63942
Charlton County,Georgia,12171
Chatham County,Georgia,265128
Chattahoochee County,Georgia,11267
Chattooga County,Georgia,26015
Cherokee County,Georgia,214346
Clarke County,Georgia,116714
Clay County,Georgia,3183
Clayton County,Georgia,259424
Clinch County,Georgia,6798
Cobb County,Georgia,688078
Coffee County,Georgia,42356
Colquitt County,Georgia,45498
Columbia County,Georgia,124053
Cook County,Georgia,17212
Coweta County,Georgia,127317
Crawford County,Georgia,12630
Crisp County,Georgia,23439
Dade County,Georgia,16633
Dawson County,Georgia,22330
Decatur County,Georgia,27842
DeKalb County,Georgia,691893
Dodge County,Georgia,21796
Dooly County,Georgia,14918
Dougherty County,Georgia,94565
Douglas County,Georgia,132403
Early County,Georgia,11008
Echols County,Georgia,4034
Effingham County,Georgia,52250
Elbert County,Georgia,20166
Emanuel County,Georgia,22598
Evans County,Georgia,11000
Fannin County,Georgia,23682
Fayette County,Georgia,106567
Floyd County,Georgia,96317
Forsyth County,Georgia,175511
Franklin County,Georgia,22084
Fulton County,Georgia,920581
Gilmer County,Georgia,28292
Glascock County,Georgia,3082
Glynn County,Georgia,79626
Gordon County,Georgia,55186
Grady County,Georgia,25011
Greene County,Georgia,15994
Gwinnett County,Georgia,805321
Habersham County,Georgia,43041
Hall County,Georgia,179684
Hancock County,Georgia,9429
Haralson County,Georgia,28780
Harris County,Georgia,32024
Hart County,Georgia,25213
Heard County,Georgia,11834
Henry County,Georgia,203922
Houston County,Georgia,139900
Irwin County,Georgia,9538
Jackson County,Georgia,60485
Jasper County,Georgia,13900
Jeff Davis County,Georgia,15068
Jefferson County,Georgia,16930
Jenkins County,Georgia,8340
Johnson County,Georgia,9980
Jones County,Georgia,28669
Lamar County,Georgia,18317
Lanier County,Georgia,10078
Laurens County,Georgia,48434
Lee County,Georgia,28298
Liberty County,Georgia,63453
Lincoln County,Georgia,7996
Long County,Georgia,14464
Lowndes County,Georgia,109233
Lumpkin County,Georgia,29966
McDuffie County,Georgia,21875
McIntosh County,Georgia,14333
Macon County,Georgia,14740
Madison County,Georgia,28120
Marion County,Georgia,8742
Meriwether County,Georgia,21992
Miller County,Georgia,6125
Mitchell County,Georgia,23498
Monroe County,Georgia,26424
Montgomery County,Georgia,9123
Morgan County,Georgia,17868
Murray County,Georgia,39628
Muscogee County,Georgia,189885
Newton County,Georgia,99958
Oconee County,Georgia,32808
Oglethorpe County,Georgia,14899
Paulding County,Georgia,142324
Peach County,Georgia,27695
Pickens County,Georgia,29431
Pierce County,Georgia,18758
Pike County,Georgia,17869
Polk County,Georgia,41475
Pulaski County,Georgia,12010
Putnam County,Georgia,21218
Quitman County,Georgia,2513
Rabun County,Georgia,16276
Randolph County,Georgia,7719
Richmond County,Georgia,200549
Rockdale County,Georgia,85215
Schley County,Georgia,5010
Screven County,Georgia,14593
Seminole County,Georgia,8729
Spalding County,Georgia,64073
Stephens County,Georgia,26175
Stewart County,Georgia,6058
Sumter County,Georgia,32819
Talbot County,Georgia,6865
Taliaferro County,Georgia,1717
Tattnall County,Georgia,25520
Taylor County,Georgia,8906
Telfair County,Georgia,16500
Terrell County,Georgia,9315
Thomas County,Georgia,44720
Tift County,Georgia,40118
Toombs County,Georgia,27223
Towns County,Georgia,10471
Treutlen County,Georgia,6885
Troup County,Georgia,67044
Turner County,Georgia,8930
Twiggs County,Georgia,9023
Union County,Georgia,21356
Upson County,Georgia,27153
Walker County,Georgia,68756
Walton County,Georgia,83768
Ware County,Georgia,36312
Warren County,Georgia,5834
Washington County,Georgia,21187
Wayne County,Georgia,30099
Webster County,Georgia,2799
Wheeler County,Georgia,7421
White County,Georgia,27144
Whitfield County,Georgia,102599
Wilcox County,Georgia,9255
Wilkes County,Georgia,10593
Wilkinson County,Georgia,9563
Worth County,Georgia,21679
Hawaii County,Hawaii,185079
Honolulu County,Hawaii,953207
Kalawao County,Hawaii,90
Kauai County,Hawaii,67091
Maui County,Hawaii,154834
Ada County,Idaho,392365
Adams County,Idaho,3976
Bannock County,Idaho,82839
Bear Lake County,Idaho,5986
Benewah County,Idaho,9285
Bingham County,Idaho,45607
Blaine County,Idaho,21376
Boise County,Idaho,7028
Bonner County,Idaho,40877
Bonneville County,Idaho,104234
Boundary County,Idaho,10972
Butte County,Idaho,2891
Camas County,Idaho,1117
Canyon County,Idaho,188923
Caribou County,Idaho,6963
Cassia County,Idaho,22952
Clark County,Idaho,982
Clearwater County,Idaho,8761
Custer County,Idaho,4368
Elmore County,Idaho,27038
Franklin County,Idaho,12786
Fremont County,Idaho,13242
Gem County,Idaho,16719
Gooding County,Idaho,15464
Idaho County,Idaho,16267
Jefferson County,Idaho,26140
Jerome County,Idaho,22374
Kootenai County,Idaho,138494
Latah County,Idaho,37244
Lemhi County,Idaho,7936
Lewis County,Idaho,3821
Lincoln County,Idaho,5208
Madison County,Idaho,37536
Minidoka County,Idaho,20069
Nez Perce County,Idaho,39265
Oneida County,Idaho,4286
Owyhee County,Idaho,11526
Payette County,Idaho,22623
Power County,Idaho,7817
Shoshone County,Idaho,12765
Teton County,Idaho,10170
Twin Falls County,Idaho,77230
Valley County,Idaho,9862
Washington County,Idaho,10198
Adams County,Illinois,67103
Alexander County,Illinois,8238
Bond County,Illinois,17768
Boone County,Illinois,54165
Brown County,Illinois,6937
Bureau County,Illinois,34978
Calhoun County,Illinois,5089
Carroll County,Illinois,15387
Cass County,Illinois,13642
Champaign County,Illinois,201081
Christian County,Illinois,34800
Clark County,Illinois,16335
Clay County,Illinois,13815
Clinton County,Illinois,37762
Coles County,Illinois,53873
Cook County,Illinois,5194675
Crawford County,Illinois,19817
Cumberland County,Illinois,11048
DeKalb County,Illinois,105160
De Witt County,Illinois,16561
Douglas County,Illinois,19980
DuPage County,Illinois,916924
Edgar County,Illinois,18576
Edwards County,Illinois,6721
Effingham County,Illinois,34242
Fayette County,Illinois,22140
Ford County,Illinois,14081
Franklin County,Illinois,39561
Fulton County,Illinois,37069
Gallatin County,Illinois,5589
Greene County,Illinois,13886
Grundy County,Illinois,50063
Hamilton County,Illinois,8457
Hancock County,Illinois,19104
Hardin County,Illinois,4320
Henderson County,Illinois,7331
Henry County,Illinois,50486
Iroquois County,Illinois,29718
Jackson County,Illinois,60218
Jasper County,Illinois,9698
Jefferson County,Illinois,38827
Jersey County,Illinois,22985
Jo Daviess County,Illinois,22678
Johnson County,Illinois,12582
Kane County,Illinois,515269
Kankakee County,Illinois,113449
Kendall County,Illinois,114736
Knox County,Illinois,52919
Lake County,Illinois,703462
LaSalle County,Illinois,113924
Lawrence County,Illinois,16833
Lee County,Illinois,36031
Livingston County,Illinois,38950
Logan County,Illinois,30305
McDonough County,Illinois,32612
McHenry County,Illinois,308760
McLean County,Illinois,169572
Macon County,Illinois,110768
Macoupin County,Illinois,47765
Madison County,Illinois,269282
Marion County,Illinois,39437
Marshall County,Illinois,12640
Mason County,Illinois,14666
Massac County,Illinois,15429
Menard County,Illinois,12705
Mercer County,Illinois,16434
Monroe County,Illinois,32957
Montgomery County,Illinois,30104
Morgan County,Illinois,35547
Moultrie County,Illinois,14846
Ogle County,Illinois,53497
Peoria County,Illinois,186494
Perry County,Illinois,22350
Piatt County,Illinois,16729
Pike County,Illinois,16430
Pope County,Illinois,4470
Pulaski County,Illinois,6161
Putnam County,Illinois,6006
Randolph County,Illinois,33476
Richland County,Illinois,16233
Rock Island County,Illinois,147546
St. Clair County,Illinois,270056
Saline County,Illinois,24913
Sangamon County,Illinois,197465
Schuyler County,Illinois,7544
Scott County,Illinois,5355
Shelby County,Illinois,22363
Stark County,Illinois,5994
Stephenson County,Illinois,47711
Tazewell County,Illinois,135394
Union County,Illinois,17808
Vermilion County,Illinois,81625
Wabash County,Illinois,11947
Warren County,Illinois,17707
Washington County,Illinois,14716
Wayne County,Illinois,16760
White County,Illinois,14665
Whiteside County,Illinois,58498
Will County,Illinois,677560
Williamson County,Illinois,66357
Winnebago County,Illinois,295266
Woodford County,Illinois,38664
Adams County,Indiana,34387
Allen County,Indiana,355329
Bartholomew County,Indiana,76794
Benton County,Indiana,8854
Blackford County,Indiana,12766
Boone County,Indiana,56640
Brown County,Indiana,15242
Carroll County,Indiana,20155
Cass County,Indiana,38966
Clark County,Indiana,110232
Clay County,Indiana,26890
Clinton County,Indiana,33224
Crawford County,Indiana,10713
Daviess County,Indiana,31648
Dearborn County,Indiana,50047
Decatur County,Indiana,25740
DeKalb County,Indiana,42223
Delaware County,Indiana,117671
Dubois County,Indiana,41889
Elkhart County,Indiana,197559
Fayette County,Indiana,24277
Floyd County,Indiana,74578
Fountain County,Indiana,17240
Franklin County,Indiana,23087
Fulton County,Indiana,20836
Gibson County,Indiana,33503
Grant County,Indiana,70061
Greene County,Indiana,33165
Hamilton County,Indiana,274569
Hancock County,Indiana,70002
Harrison County,Indiana,39364
Hendricks County,Indiana,145448
Henry County,Indiana,49462
Howard County,Indiana,82752
Huntington County,Indiana,37124
Jackson County,Indiana,42376
Jasper County,Indiana,33478
Jay County,Indiana,21253
Jefferson County,Indiana,32428
Jennings County,Indiana,28525
Johnson County,Indiana,139654
Knox County,Indiana,38440
Kosciusko County,Indiana,77358
LaGrange County,Indiana,37128
Lake County,Indiana,496005
LaPorte County,Indiana,111467
Lawrence County,Indiana,46134
Madison County,Indiana,131636
Marion County,Indiana,903393
Marshall County,Indiana,47051
Martin County,Indiana,10334
Miami County,Indiana,36903
Monroe County,Indiana,137974
Montgomery County,Indiana,38124
Morgan County,Indiana,68894
Newton County,Indiana,14244
Noble County,Indiana,47536
Ohio County,Indiana,6128
Orange County,Indiana,19840
Owen County,Indiana,21575
Parke County,Indiana,17339
Perry County,Indiana,19338
Pike County,Indiana,12845
Porter County,Indiana,164343
Posey County,Indiana,25910
Pulaski County,Indiana,13402
Putnam County,Indiana,37963
Randolph County,Indiana,26171
Ripley County,Indiana,28818
Rush County,Indiana,17392
St. Joseph County,Indiana,266931
Scott County,Indiana,24181
Shelby County,Indiana,44436
Spencer County,Indiana,20952
Starke County,Indiana,23363
Steuben County,Indiana,34185
Sullivan County,Indiana,21475
Switzerland County,Indiana,10613
Tippecanoe County,Indiana,172780
Tipton County,Indiana,15936
Union County,Indiana,7516
Vanderburgh County,Indiana,179703
Vermillion County,Indiana,16212
Vigo County,Indiana,107848
Wabash County,Indiana,32888
Warren County,Indiana,8508
Warrick County,Indiana,59689
Washington County,Indiana,28262
Wayne County,Indiana,68917
Wells County,Indiana,27636
White County,Indiana,24643
Whitley County,Indiana,33292
Adair County,Iowa,7682
Adams County,Iowa,4029
Allamakee County,Iowa,14330
Appanoose County,Iowa,12887
Audubon County,Iowa,6119
Benton County,Iowa,26076
Black Hawk County,Iowa,131090
Boone County,Iowa,26306
Bremer County,Iowa,24276
Buchanan County,Iowa,20958
Buena Vista County,Iowa,20260
Butler County,Iowa,14867
Calhoun County,Iowa,9670
Carroll County,Iowa,20816
Cass County,Iowa,13956
Cedar County,Iowa,18499
Cerro Gordo County,Iowa,44151
Cherokee County,Iowa,12072
Chickasaw County,Iowa,12439
Clarke County,Iowa,9286
Clay County,Iowa,16667
Clayton County,Iowa,18129
Clinton County,Iowa,49116
Crawford County,Iowa,17096
Dallas County,Iowa,66135
Davis County,Iowa,8753
Decatur County,Iowa,8457
Delaware County,Iowa,17764
Des Moines County,Iowa,40325
Dickinson County,Iowa,16667
Dubuque County,Iowa,93653
Emmet County,Iowa,10302
Fayette County,Iowa,20880
Floyd County,Iowa,16303
Franklin County,Iowa,10680
Fremont County,Iowa,7441
Greene County,Iowa,9336
Grundy County,Iowa,12453
Guthrie County,Iowa,10954
Hamilton County,Iowa,15673
Hancock County,Iowa,11341
Hardin County,Iowa,17534
Harrison County,Iowa,14928
Henry County,Iowa,20145
Howard County,Iowa,9566
Humboldt County,Iowa,9815
Ida County,Iowa,7089
Iowa County,Iowa,16355
Jackson County,Iowa,19848
Jasper County,Iowa,36842
Jefferson County,Iowa,16843
Johnson County,Iowa,130882
Jones County,Iowa,20638
Keokuk County,Iowa,10511
Kossuth County,Iowa,15543
Lee County,Iowa,35862
Linn County,Iowa,211226
Louisa County,Iowa,11387
Lucas County,Iowa,8898
Lyon County,Iowa,11581
Madison County,Iowa,15679
Mahaska County,Iowa,22381
Marion County,Iowa,33309
Marshall County,Iowa,40648
Mills County,Iowa,15059
Mitchell County,Iowa,10776
Monona County,Iowa,9243
Monroe County,Iowa,7970
Montgomery County,Iowa,10740
Muscatine County,Iowa,42745
O'Brien County,Iowa,14398
Osceola County,Iowa,6462
Page County,Iowa,15932
Palo Alto County,Iowa,9421
Plymouth County,Iowa,24986
Pocahontas County,Iowa,7310
Polk County,Iowa,430640
Pottawattamie County,Iowa,93158
Poweshiek County,Iowa,18914
Ringgold County,Iowa,5131
Sac County,Iowa,10350
Scott County,Iowa,165224
Shelby County,Iowa,12167
Sioux County,Iowa,33704
Story County,Iowa,89542
Tama County,Iowa,17767
Taylor County,Iowa,6317
Union County,Iowa,12534
Van Buren County,Iowa,7570
Wapello County,Iowa,35625
Warren County,Iowa,46225
Washington County,Iowa,21704
Wayne County,Iowa,6403
Webster County,Iowa,38013
Winnebago County,Iowa,10866
Winneshiek County,Iowa,21056
Woodbury County,Iowa,102172
Worth County,Iowa,7598
Wright County,Iowa,13229
Allen County,Kansas,13371
Anderson County,Kansas,8102
Atchison County,Kansas,16924
Barber County,Kansas,4861
Barton County,Kansas,27674
Bourbon County,Kansas,15173
Brown County,Kansas,9984
Butler County,Kansas,65880
Chase County,Kansas,2790
Chautauqua County,Kansas,3669
Cherokee County,Kansas,21603
Cheyenne County,Kansas,2726
Clark County,Kansas,2215
Clay County,Kansas,8535
Cloud County,Kansas,9533
Coffey County,Kansas,8601
Comanche County,Kansas,1891
Cowley County,Kansas,36311
Crawford County,Kansas,39134
Decatur County,Kansas,2961
Dickinson County,Kansas,19754
Doniphan County,Kansas,7945
Douglas County,Kansas,110826
Edwards County,Kansas,3037
Elk County,Kansas,2882
Ellis County,Kansas,28452
Ellsworth County,Kansas,6497
Finney County,Kansas,36776
Ford County,Kansas,33848
Franklin County,Kansas,25992
Geary County,Kansas,34362
Gove County,Kansas,2695
Graham County,Kansas,2597
Grant County,Kansas,7829
Gray County,Kansas,6006
Greeley County,Kansas,1247
Greenwood County,Kansas,6689
Hamilton County,Kansas,2690
Harper County,Kansas,6034
Harvey County,Kansas,34684
Haskell County,Kansas,4256
Hodgeman County,Kansas,1916
Jackson County,Kansas,13462
Jefferson County,Kansas,19126
Jewell County,Kansas,3077
Johnson County,Kansas,544179
Kearny County,Kansas,3977
Kingman County,Kansas,7858
Kiowa County,Kansas,2553
Labette County,Kansas,21607
Lane County,Kansas,1750
Leavenworth County,Kansas,76227
Lincoln County,Kansas,3241
Linn County,Kansas,9656
Logan County,Kansas,2756
Lyon County,Kansas,33690
McPherson County,Kansas,29180
Marion County,Kansas,12660
Marshall County,Kansas,10117
Meade County,Kansas,4575
Miami County,Kansas,32787
Mitchell County,Kansas,6373
Montgomery County,Kansas,35471
Morris County,Kansas,5923
Morton County,Kansas,3233
Nemaha County,Kansas,10178
Neosho County,Kansas,16512
Ness County,Kansas,3107
Norton County,Kansas,5671
Osage County,Kansas,16295
Osborne County,Kansas,3858
Ottawa County,Kansas,6091
Pawnee County,Kansas,6973
Phillips County,Kansas,5642
Pottawatomie County,Kansas,21604
Pratt County,Kansas,9656
Rawlins County,Kansas,2519
Reno County,Kansas,64511
Republic County,Kansas,4980
Rice County,Kansas,10083
Riley County,Kansas,71115
Rooks County,Kansas,5181
Rush County,Kansas,3307
Russell County,Kansas,6970
Saline County,Kansas,55606
Scott County,Kansas,4936
Sedgwick County,Kansas,498365
Seward County,Kansas,22952
Shawnee County,Kansas,177934
Sheridan County,Kansas,2556
Sherman County,Kansas,6010
Smith County,Kansas,3853
Stafford County,Kansas,4437
Stanton County,Kansas,2235
Stevens County,Kansas,5724
Sumner County,Kansas,24132
Thomas County,Kansas,7900
Trego County,Kansas,3001
Wabaunsee County,Kansas,7053
Wallace County,Kansas,1485
Washington County,Kansas,5799
Wichita County,Kansas,2234
Wilson County,Kansas,9409
Woodson County,Kansas,3309
Wyandotte County,Kansas,157505
Adair County,Kentucky,18656
Allen County,Kentucky,19956
Anderson County,Kentucky,21421
